,sim_type,RHOS,NUM_STATIONS,NUM_PACKETS,BITRATE,PKTSIZE,delay,qsize,ssize,busy,fingerprint
167,fix,0.1,17,10000,1500,2000,38.23355799,0.115920962,0.214904843,0.099053973,468.2491982
168,fix,0.1,17,10000,2000,500,7.263789777,0.122619233,0.222011213,0.099460052,8369.032855
169,fix,0.1,17,10000,2000,1000,15.1478906,0.131008195,0.231283355,0.10028206,126.5118151
170,fix,0.1,17,10000,2000,2000,29.64637904,0.1246944,0.22623653,0.101543666,7051.486134
171,fix,0.1,17,20000,1000,500,15.07107657,0.131362748,0.233240184,0.101922289,6475.106074
172,fix,0.1,17,20000,1000,1000,28.87950836,0.123788453,0.222074335,0.098322751,4157.420124
173,fix,0.1,17,20000,1000,2000,59.47796771,0.129224535,0.229779682,0.100621684,8705.664351
174,fix,0.1,17,20000,1500,500,9.578042671,0.121145816,0.218302656,0.097172029,4589.525809
175,fix,0.1,17,20000,1500,1000,19.91038992,0.126719154,0.228674365,0.102028693,5572.320694
176,fix,0.1,17,20000,1500,2000,38.86645103,0.120105505,0.218913835,0.098808402,4018.760437
177,fix,0.1,17,20000,2000,500,7.208035783,0.118379233,0.218799606,0.100429404,4468.301319
178,fix,0.1,17,20000,2000,1000,14.77745814,0.124502011,0.225934674,0.101497692,2101.069821
179,fix,0.1,17,20000,2000,2000,29.00498287,0.120507553,0.221104665,0.100597586,7491.961801
180,fix,0.1,20,2000,1000,500,18.60796158,0.144373818,0.244216184,0.10049042,6379.833966
181,fix,0.1,20,2000,1000,1000,36.78318118,0.141883703,0.242911302,0.101767855,4004.998921
182,fix,0.1,20,2000,1000,2000,74.29315487,0.145264618,0.249813345,0.104983152,6730.215976
183,fix,0.1,20,2000,1500,500,12.47462421,0.147209711,0.246287824,0.100360779,8875.290253
184,fix,0.1,20,2000,1500,1000,24.27806148,0.146416996,0.243839193,0.097897422,4036.895391
185,fix,0.1,20,2000,1500,2000,48.81806584,0.143286638,0.24341879,0.100829424,4980.675252
186,fix,0.1,20,2000,2000,500,9.402020921,0.147583333,0.244015025,0.097041113,5806.290922
187,fix,0.1,20,2000,2000,1000,16.40642061,0.108123367,0.200833983,0.092977435,2320.4163
188,fix,0.1,20,2000,2000,2000,36.79442097,0.143356334,0.245920075,0.103109506,4000.245437
189,fix,0.1,20,5000,1000,500,18.60763529,0.137522582,0.2374275,0.10002263,432.0711958
190,fix,0.1,20,5000,1000,1000,34.3746406,0.121725398,0.216884131,0.095550391,1438.922647
191,fix,0.1,20,5000,1000,2000,72.36059,0.133564355,0.232647026,0.099103354,2573.049373
192,fix,0.1,20,5000,1500,500,12.07742842,0.135321779,0.235960759,0.100752356,9848.83019
193,fix,0.1,20,5000,1500,1000,24.28504888,0.13347955,0.231257561,0.097918046,5956.423042
194,fix,0.1,20,5000,1500,2000,49.48376391,0.145798889,0.246372844,0.100699515,2288.101002
